"species","commonname","scientificname","target_species","incubation_j","nestling_j","clutch_size","egg_color","nest_size","nest_materials","nest_microhabitat","colony_habitat","brood_size","nest_success","chick_description","typical_timing_range","courtship_period","nestbuilding_period","reproductive_period","nestling_period","incubation_period","branchling_period","feeding_methods","foraging_depth","foraging_type","niche_description","prey"
ambi,American Bittern,Botaurus lentiginosus,no,26,10,"2 - 7","beige-brown to olive; unmarked","33 cm","dry reeds, sedges, cattails, lined with fine grasses","thick stands of cattails, bulrushes, and sedges that grow out of shallow water","","","","","","","","","","","","","","","","insects, crustaceans, fish, amphibians, reptiles, and small mammals"
anhi,Anhinga,Anhinga anhinga,no,22,14,"2 - 5","Conspicuously pointed at one end, pale bluish green, and overlaid with a chalky coating","","","","shallow, slow-moving, sheltered waters","1","","Naked, with eyes open","","","","","14 - 21 days","26 - 30 days","","swims slowly underwater, stalking fish around submerged vegetation, spear fish","","","","small- to medium-sized wetland fishes, with very small amounts of crustaceans and invertebrates"
bcnh,Black Crowned Night Heron,Nycticorax nycticorax,no,28,21,"","","","","","","","","","","","","","","","","","","","",""
caeg,Cattle Egret,Bubulcus ibis,no,22,14,"","","","","","","","","","","","","","","","","","","","",""
coga,Common Gallinule,Gallinula galeata,no,21,40,"","","","","","","","","","","","","","","","","","","","",""
dcco,Double-crested Cormorant,Phalacrocorax auritus,no,27,25,"","","","","","","","","","","","","","","","","","","","",""
gbhe,Great Blue Heron,Ardea herodias,yes,28,60,"2 - 6","Pale blue, fading slightly with age","50 cm - 122 cm","sticks, lined with grass, reeds, moss, cupped","mainly in trees, but will also nest on the ground, on bushes, in mangroves, and on structures such as duck blinds, channel markers, or artificial nest platforms","","1 - 2","","bluish eyes open,  covered in pale gray down, able to vocalize","","","","","49 - 81 days","27 - 29 days","","grab smaller prey in their strong mandibles or use their dagger-like bills to impale larger fish, often shaking them to break or relax the sharp spines before gulping them down","","exploiter","","anything within striking distance, including fish, amphibians, reptiles, small mammals, insects, and other birds"
glib,Glossy Ibis,Plegadis falcinellus,no,21,14,"","","","","","","","","","","","","","","","","","","","",""
greg,Great Egret,Ardea alba,yes,28,21,"1 - 6, 4 normal","light blue green","widths of ground nests (49.2 cm ± 5.9 SD) versus tree nests (42.5 cm ± 3.7 SD) were significantly different, as were nest depths (21.2 cm ± 8.7 SD and 10.5 cm ± 2.2 SD),","sticks, vary in size","open canopy","","1 - 3","","white down, body dak gray, wram pale gray bill balck tip, change to yellow by 7 days.","Jan - May","7 - 11 days","3 - 5days","80","21","27","50+ days","walking slowly, standing and waiting, second to SNEG in number of different foraging behaviors; kleptoparasitism from other species","average 28 cm, GE will increase to 20 - 40 cm then decline","exploiter","depth more important than salinity, but will stay in open areas","98% fish, but opportunistic, size larger than other herons except for GBHE"
grhe,Green Heron,Butorides virescens,no,22,14,"","","","","","","","","","","","","","","","","","","","",""
lada,large dark unidentified bird,unknown,no,27,25,"","","","","","","","","","","","","","","","","","","","",""
lawh,large white unidentified bird,unknown,no,28,55,"","","","","","","","","","","","","","","","","","","","",""
lbhe,Little Blue Heron,Egretta caerulea,yes,22,14,"","","","","","","","","","","","","","","","","","","","",""
lebi,Least Bittern,Botaurus exilis,no,18,10,"2 - 6","pale blue or green","18 cm","crimped reed platform arranged as spokes","reeds, 6-30 inches above the water","","","","","","","","","","","","","","","","small fish, also insects, crustaceans, amphibians, reptiles, and small mammals"
limp,Limpkin,Aramus guarauna,no,27,25,"4 - 7","variable, light grayish white or deep olive with brownish or purplish gray streaks and blotches","","","","","","","","","","","","","26 - 28 days","","","","","","apple snails (genus Pomacea)"
rosp,Roseate Spoonbill,Platalea ajaja,yes,22,21,"1 - 5, 4 typical","dull white, brown spots","","twigs and large sticks","subcanopy","","","","pinkish down, tubular to flattened bills, exceptionally cute","Nov - Feb","","20 days","80","5-6weeks","22 days","60 days","tactolocation, head sweeping, will use grabbing or probing, and will run after abundant or active prey.","<12 cm, max 20 cm based on leg length","high grader","fresh to hypersaline, will feed at night; prefers coastal habitat",""
rsha,Red-shouldered Hawk,Buteo lineatus,no,36,46,"","","","","","","","","","","","","","","","","","","","",""
smda,small dark unidentified bird,unknown,no,22,14,"","","","","","","","","","","","","","","","","","","","",""
smhe,small heron,unknown,no,22,14,"","","","","","","","","","","","","","","","","","","","",""
smwh,small white unidentified bird,unknown,no,22,14,"","","","","","","","","","","","","","","","","","","","",""
sneg,Snowy Egret,Egretta thula,yes,22,14,"3 - 5","pale greenish blue","","fine twigs , cupped","head to chest height, never canopy","","","","white down, leg yellowish to grayish to black, pink mouth, pale gray iris","mid - late March","","4.4 days","","15 days","22 days","","broadest repertoire of foraging of any n. american heron.  Foot stirring, fly-stabbing, foot dragging, lots of habitats,","","high grader","brackish and marine, shallow water","worms, insects, crustaceans, fishes, anurans 75% fish, mosquitofish, needlefish"
snki,Snail Kite,Rostrhamus sociabilis,no,27,28,"1 - 5","dull white splotched with brown","41 cm","willow and myrtle branches, and lined with green leaves, reeds, and grasses","short trees beside (or growing in) shallow water, usually adjacent to feeding areas","clumps of coastal-plain willow at the water edge","","","","","","","","","","","","","","","freshwater apple snails (genus Pomacea)"
trhe,Tricolored Heron,Egretta tricolor,no,22,14,"3 - 4","pale bluish green","","small twigs, woody vege, no green material, will nest in needlerush","subcanopy, dense, well shaded 0.15 - 3.7 m above ground","","","","brownish reddish crown, bronish gray on back, white down abdoment,","Feb - March","5 - 6 days","","","83 days","21 days","50 - 56 days","broad - striking, running, wing shading, foot raking,. Slow walking, usually solitary foraging or on edge of groups","deeper than snowy, to belly deep, 18cm max","exploiter","estuarine, coastal primary habitat","primarily fish, opportunistic, fundulus, killifishes"
tuvu,Turkey vulture,Cathartes aura,no,34,72,"1 - 3","creamy white tinged with gray, blue, or green, and spotted with purple to brown","","","","","","","","","","","","60 - 84 days","28 - 40 days","","","","","","carrion"
unkn,Unknown,Unknown,no,22,14,"","","","","","","","","","","","","","","","","","","","",""
whib,White Ibis,Eudocimus albus,yes,21,14,"2 - 3","creamy white to greenish, brown splotches","25 cm average","various, twigs to grass","various height, very dense","","1 - 3","5 - 70%","dark downy, pink bills with dark markings,","Feb - March in Everglades","5 - 6 days","","","15 - 18 days","22 days","61 days mean, as early as 40 days","walk and probe quickly, will use visual foraging, foot raking, pecking at surface,","14 cm on average","high grader","prefer freshwater in breeding season, will feed in coastal","crustaceans, insects, small fishes, gambusia, crayfish, fiddler crabs"
wost,Wood Stork,Mycteria americana,yes,28,50,"1 - 5","creamy white","","twigs and sticks","open at top","historically cypress swamps, now many types including impoundments","","","white, sparse down, eyes closed, 60 gm at hatching","historically november, now Feb - March","","2 - 3 days","99 - 118 days","25 days","28 days","50 - 55 days","grope foraging, walking slowly with bill open in water, side to side motion, snap reflex, unitary foraging technique. Foot stirring and wing flicking","15 - 50 cm","high grader","wetlands,","fish>1 yr old, sunfishes, catfishes, killifishes, mollies,"
ycnh,Yellow-crowned Night-Heron,Nyctanassa violacea,no,22,14,"","","","","","","","","","","","","","","","","","","","",""
