year,colony,ground_control_points
2020,6thBridge,True
2020,AlleyNorth,True
2020,CypressCity,False
2020,Jerrod,True
2020,JetportSouth,True
2020,Joule,True
2020,StartMel,True
2020,Vacation,True
2020,Aerie,False
2020,Enlil,False
2020,Frodo,False
2020,Horus,False
2020,LittleD,False
2020,Vulture,False
2020,Enki,False
2020,Forseti,False
2020,Hidden,False
2020,Jupiter,False
2020,Nanse,False
2020,Yonteau,False
2021,6thBridge,True
2021,AlleyNorth,True
2021,CypressCity,False
2021,Jerrod,True
2021,JetportSouth,True
2021,Joule,True
2021,StartMel,True
2021,Vacation,True
2021,Aerie,False
2021,Forseti,False
2021,JetportNew,False
2021,Kinich,False
2021,Vulture,False
2021,BigMel,False
2021,Garl,False
2021,LittleD,False
2021,Rhea,False
2021,Hidden,False
2021,Nanse,False
2021,SawgrassFord,False
2021,Diana,False
2021,Jupiter,False
2021,Shamash,False
2021,Enlil,False
2021,Horus,False
2021,Kidlow,False
2021,SouthwestRanches,False
2022,3BRamp080,False
2022,CypressCity,False
2022,Hidden,False
2022,Horus,False
2022,JetportNew,False
2022,JetportSouthExtraIsland,False
2022,Jupiter,False
2022,StartMel,True
2022,Vulture,False
2022,6thBridge,True
2022,Forsetti,False
2022,HiddenLittle,False
2022,Jerrod,True
2022,JetportSouth,True
2022,Joule,True
2022,Nanse,False
2022,Vacation,True
